Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
21604                            X;;21604;JANE;ROBE;ARTEMIS;25E;39;140;-;PFL;0GY;;;
21605                            X;;21605;JOHANN;ROBE;ARTEMIS;25E;39;130;-;PFL;0GY;;;
21607                            X;;21607;JOANNIS;BLOUSE;ARTEMIS;25E;35;100;-;PFL;0GY;;;
21608                            X;;21608;JEROME;CHEMISE;ARTEMIS;25E;29;90;-;PFL;0GY;;;
21609                            X;;21609;JUDE;CHEMISE;ARTEMIS;25E;45;140;-;PFL;0GY;;;
21611                            X;;21611;JOSINE;ROBE;MB;25E;34;110;-;PFL;0GY;;;
21612                            X;;21612;JOIS;ROBE;MB;25E;46;140;-;PFL;0GY;;;
21613                            X;;21613;JILLUY;ROBE;MB;25E;56;160;-;PFL;0GY;;;
21621                            X;;21621;JAIBI;CHEMISE;ARTEMIS;25E;45;130;-;PFL;0GY;;;
21622                            X;;21622;JERUSALEM;KIMONO;TIN TRADE;25E;55;190;-;PFL;0GZ;;;
21623                            X;;21623;JAYDA;KIMONO;TIN TRADE;25E;55;190;-;PFL;0GZ;;;
21624                            X;;21624;JAMI;KIMONO;TIN TRADE;25E;44;150;-;PFL;0GZ;;;
21625                            X;;21625;JAZE;PYJAMA;MAILLE CLUB;25E;26;80;-;PFL;0GY;;;
21626                            X;;21626;JESSI;CHEMISE DE NUIT;MAILLE CLUB;25E;24;80;-;PFL;0GY;;;
21627                            X;;21627;JESSIKA;TUNIQUE;MY LOOK;25E;24;80;-;PFL;0GY;;;
21636                            X;;21636;JERINE;PANTALON;STE TEX-MODE;25E;31;100;-;PFL;0GY;;;
21637                            X;;21637;JESKO;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21638                            X;;21638;JACOMO;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21639                            X;;21639;JAFA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21640                            X;;21640;JABBA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21641                            X;;21641;JAIKA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21642                            X;;21642;JAKUZA;TEE SHIRT;STE TEX-MODE;25E;13;55;-;PFL;0GY;;;
21643                            X;;21643;JAIRA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21644                            X;;21644;JALA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21645                            X;;21645;JARO;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21646                            X;;21646;JAVA;TEE SHIRT;STE TEX-MODE;25E;17;60;-;PFL;0GY;;;
21647                            X;;21647;JILDA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21648                            X;;21648;JERIKO;TEE SHIRT;STE TEX-MODE;25E;13;50;-;PFL;0GY;;;
21649                            X;;21649;JORNI;TEE SHIRT;STE TEX-MODE;25E;12;40;-;PFL;0GY;;;
21650                            X;;21650;JITTA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21651                            X;;21651;JINA;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21652                            X;;21652;JENELLE;TEE SHIRT;STE TEX-MODE;25E;19;60;-;PFL;0GY;;;
21653                            X;;21653;JOVITTA;TEE SHIRT;STE TEX-MODE;25E;17;60;-;PFL;0GY;;;
21654                            X;;21654;JOVED;TEE SHIRT;STE TEX-MODE;25E;14;50;-;PFL;0GY;;;
21655                            X;;21655;JARNAC;TEE SHIRT;STE TEX-MODE;25E;18;60;-;PFL;0GY;;;
21656                            X;;21656;JAMILA;TEE SHIRT;STE TEX-MODE;25E;12;40;-;PFL;0GY;;;
21657                            X;;21657;JENGO;TEE SHIRT;STE TEX-MODE;25E;16;55;-;PFL;0GY;;;
21658                            X;;21658;JANIZ;TEE SHIRT;STE TEX-MODE;25E;19;65;-;PFL;0GY;;;
21659                            X;;21659;JAMMA;TEE SHIRT;STE TEX-MODE;25E;17;60;-;PFL;0GY;;;
21661                            X;;21661;JULIETTE;CHEMISE;STE TEX-MODE;25E;33;100;-;PFL;0GY;;;
21663                            X;;21663;JOURDAN;PONCHO;STE GAT FASHION;25E;34;110;-;PFL;0GZ;;;
21664                            X;;21664;JORDI;PYJAMA;DELFINO;25E;35;100;-;PFL;0GY;;;
21666                            X;;21666;JOUDI;PYJA SHORT;STE TEX-MODE;25E;25;80;-;PFL;0GY;;;
21667                            X;;21667;JIJI;PYJA SHORT;STE TEX-MODE;25E;25;80;-;PFL;0GY;;;
21668                            X;;21668;JANY;PYJA SHORT;STE TEX-MODE;25E;25;80;-;PFL;0GY;;;
21669                            X;;21669;JUDIC;CHEMISE DE NUIT;STE TEX-MODE;25E;19;80;-;PFL;0GY;;;
21670                            X;;21670;JOZEPHA;PYJA SHORT;STE TEX-MODE;25E;26;80;-;PFL;0GY;;;
21679                            X;;21679;JOANY;CHEMISE;STE TEX-MODE;25E;32;110;-;PFL;0GY;;;
21680                            X;;21680;JANSOU;CHEMISE;STE TEX-MODE;25E;33;110;-;PFL;0GY;;;
21682                            X;;21682;JALTTA;KIMONO;STE TEX-MODE;25E;44;140;-;PFL;0GY;;;
21683                            X;;21683;JELLE;PANTALON;STE TEX-MODE;25E;33;110;-;PFL;0GY;;;
21684                            X;;21684;JOSH;JUPE;STE TEX-MODE;25E;27;100;-;PFL;0GY;;;
21686                            X;;21686;JANOT;SHORT;STE TEX-MODE;25E;25;90;-;PFL;0GY;;;
21687                            X;;21687;JERMAIN;PANTALON;STE TEX-MODE;25E;35;120;-;PFL;0GY;;;
21688                            X;;21688;JUGO;VESTE;STE TEX-MODE;25E;30;100;-;PFL;0GY;;;
21689                            X;;21689;JITESK;ROBE;STE TEX-MODE;25E;51;160;-;PFL;0GY;;;
21690                            X;;21690;JUVINE;ROBE;STE TEX-MODE;25E;45;140;-;PFL;0GY;;;
21691                            X;;21691;JER;ROBE;STE TEX-MODE;25E;57;170;-;PFL;0GY;;;
21692                            X;;21692;JANKIEL;ROBE;STE TEX-MODE;25E;57;170;-;PFL;0GY;;;
21695                            X;;21695;JAVOTTE;PANTALON;MY LOOK;25E;26;80;-;PFL;0GY;;;
21696                            X;;21696;JOPHINE;PANTALON;MY LOOK;25E;26;80;-;PFL;0GY;;;
21697                            X;;21697;JIAN;PANTALON;MY LOOK;25E;26;80;-;PFL;0GY;;;
21698                            X;;21698;JOAR;ROBE;MY LOOK;25E;31;100;-;PFL;0GY;;;
21699                            X;;21699;JADIN;TUNIQUE;MY LOOK;25E;18;60;-;PFL;0GY;;;
21700                            X;;21700;JELTY;CHEMISE DE NUIT;STE TEX-MODE;25E;19;80;-;PFL;0GY;;;
21701                            X;;21701;JUNI;PYJA SHORT;STE TEX-MODE;25E;26;80;-;PFL;0GY;;;
21705                            X;;21705;JOSELINE;PANTALON;STE TEX-MODE;25E;33;110;-;PFL;0GY;;;
21707                            X;;21707;JOUNAIDA;CHEMISE DE NUIT;DELFINO;25E;29;90;-;PFL;0GY;;;
21708                            X;;21708;JOSIANE;ROBE;MY LOOK;25E;31;100;-;PFL;0GY;;;
21709                            X;;21709;JAEL;ROBE;MY LOOK;25E;31;100;-;PFL;0GY;;;
21710                            X;;21710;JENIE;ROBE;SOS BESBES DE COMMERCE;25E;33;100;-;PFL;0GY;;;
21711                            X;;21711;JANUS;PANTALON JOGGING;DELFINO;25E;28;85;-;PFL;0GY;;;
21715                            X;;21715;JAUZION;CHEMISE;ARTEMIS;25E;37;110;-;PFL;0GY;;;
21717                            X;;21717;JERTRUD;ROBE;ARTEMIS;25E;49;170;-;PFL;0GY;;;
21718                            X;;21718;JAXS;BLOUSE;ARTEMIS;25E;46;130;-;PFL;0GY;;;
21719                            X;;21719;JELS;BLOUSE;ARTEMIS;25E;50;140;-;PFL;0GY;;;
21720                            X;;21720;JUING;CHEMISE;ARTEMIS;25E;32;110;-;PFL;0GY;;;
21721                            X;;21721;JAXINTO;CHEMISE;ARTEMIS;25E;32;110;-;PFL;0GY;;;
21722                            X;;21722;JUDIO;PANTALON;ARTEMIS;25E;35;110;-;PFL;0GY;;;
21723                            X;;21723;JRNIA;JUPE;ARTEMIS;25E;39;130;-;PFL;0GY;;;
21724                            X;;21724;JRMINE;JUPE;ARTEMIS;25E;46;140;-;PFL;0GY;;;
21725                            X;;21725;JOXIM;ROBE;ARTEMIS;25E;60;170;-;PFL;0GY;;;
21727                            X;;21727;JXY;ROBE;ARTEMIS;25E;47;140;-;PFL;0GY;;;
21740                            X;;21740;JIRANE;PANTALON;STE TEX-MODE;25E;34;110;-;PFL;0GY;;;
21744                            X;;21744;JOSI;PANTALON;OMRIFEX;25E;36;110;-;PFL;0GY;;;
21745                            X;;21745;JAKLINE;PANTALON;OMRIFEX;25E;36;110;-;PFL;0GY;;;
21746                            X;;21746;JOLINE;SHORT;OMRIFEX;25E;29;90;-;PFL;0GY;;;
21747                            X;;21747;JUNIOR;VESTE;OMRIFEX;25E;45;150;-;PFL;0GY;;;
21750                            X;;21750;JONITA;CHEMISE;ROSELLA;25E;35;110;-;PFL;0GY;;;
21751                            X;;21751;JORCY;CHEMISE;ROSELLA;25E;36;110;-;PFL;0GY;;;
21752                            X;;21752;JUSRE;KIMONO;ROSELLA;25E;49;160;-;PFL;0H0;;;
21753                            X;;21753;JOSEANE;VESTE;ROSELLA;25E;58;180;-;PFL;0GY;;;
21754                            X;;21754;JEZEKAEL;PANTALON;ROSELLA;25E;35;110;-;PFL;0GY;;;
21760                            X;;21760;JULITA;PYJA SHORT;DELFINO;25E;30;90;-;PFL;0GY;;;
21761                            X;;21761;JOSIME;BLOUSE;STE TEX-MODE;25E;48;140;-;PFL;0GY;;;
21762                            X;;21762;JOSE;JUPE;STE TEX-MODE;25E;38;140;-;PFL;0GY;;;
21763                            X;;21763;JOIS;BLOUSE;STE TEX-MODE;25E;30;90;-;PFL;0GY;;;
21764                            X;;21764;JAILYS;PANTALON;STE TEX-MODE;25E;33;110;-;PFL;0GY;;;
21765                            X;;21765;JOARIS;VESTE;STE TEX-MODE;25E;30;100;-;PFL;0GY;;;
21766                            X;;21766;JUNIUS;ROBE;SORECO;25E;44;140;-;PFL;0GY;;;
21768                            X;;21768;JOHA;PANTALON;MY LOOK;25E;28;100;-;PFL;0GY;;;
21770                            X;;21770;JIHANY;PYJAMA;DELFINO;25E;32;100;-;PFL;0GY;;;
21771                            X;;21771;JULIE;SET;TIN TRADE;25E;51;170;-;PFL;0GY;;;
21772                            X;;21772;JEMA;ROBE;STE TEX-MODE;25E;59;180;-;PFL;0GY;;;
21774                            X;;21774;JOHANES;ROBE;AICHA FASHION;25E;40;140;-;PFL;0GY;;;
21775                            X;;21775;JOSEFINE;PANTALON;AICHA FASHION;25E;25;90;-;PFL;0GY;;;
21776                            X;;21776;JUDIT;PANTALON;AICHA FASHION;25E;25;90;-;PFL;0GY;;;
21777                            X;;21777;JELINE;CHEMISE;AICHA FASHION;25E;28;90;-;PFL;0GY;;;
21778                            X;;21778;JOAO;TUNIQUE;AICHA FASHION;25E;16;50;-;PFL;0GY;;;
21779                            X;;21779;JORINE;DEBARDEUR;AICHA FASHION;25E;14;50;-;PFL;0GY;;;
21781                            X;;21781;JINAR;CHEMISE;SOS BESBES DE COMMERCE;25E;23;90;-;PFL;0GY;;;
21783                            X;;21783;JANIN;TUNIQUE;METAPHORE LINE;25E;10;50;-;PFL;0GY;;;
21784                            X;;21784;JENITON;TEE SHIRT;METAPHORE LINE;25E;11;50;-;PFL;0GY;;;
21785                            X;;21785;JOUIN;ROBE;METAPHORE LINE;25E;21;90;-;PFL;0GY;;;
21786                            X;;21786;JAZY;DEBARDEUR;METAPHORE LINE;25E;9;50;-;PFL;0GY;;;
21788                            X;;21788;JAUMON;PYJAMA;DELFINO;25E;34;100;-;PFL;0GY;;;
21790                            X;;21790;JNAINA;PANTALON;MY LOOK;25E;24;80;-;PFL;0GY;;;
21791                            X;;21791;JAKOU;PANTALON;SORECO;25E;34;110;-;PFL;0GY;;;
21792                            X;;21792;JOASE;PANTALON;SORECO;25E;35;110;-;PFL;0GY;;;
21793                            X;;21793;JONESE;PANTALON;SORECO;25E;38;120;-;PFL;0GY;;;
21794                            X;;21794;JODEPH;PANTALON;SORECO;25E;33;110;-;PFL;0GY;;;
21795                            X;;21795;JOACHINA;PANTALON;SORECO;25E;37;120;-;PFL;0GY;;;
21796                            X;;21796;JAINE;PANTALON;SORECO;25E;37;120;-;PFL;0GY;;;
21797                            X;;21797;JOSIMA;PANTALON;SORECO;25E;35;110;-;PFL;0GY;;;
21798                            X;;21798;JUBRET;PANTALON;SORECO;25E;35;110;-;PFL;0GY;;;
21799                            X;;21799;JEZMA;PANTALON;SORECO;25E;34;110;-;PFL;0GY;;;
21800                            X;;21800;JEZAN;PANTALON;SORECO;25E;35;110;-;PFL;0GY;;;
21802                            X;;21802;JOANNOU;BLOUSE;AICHA FASHION;25E;22;80;-;PFL;0GY;;;
21805                            X;;21805;JEROMIA;SET;TIN TRADE;25E;50;170;-;PFL;0GY;;;
21806                            X;;21806;JANINNA;ROBE;TIN TRADE;25E;50;170;-;PFL;0GY;;;
21807                            X;;21807;JESULA;PANTALON;STE TEX-MODE;25E;32;110;-;PFL;0GY;;;
21810                            X;;21810;JISELLE;PANTALON;ARTEMIS;25E;29;100;-;PFL;0GY;;;
21811                            X;;21811;JOVANNA;TEE SHIRT;STE TEX-MODE;25E;11;55;-;PFL;0GY;;;
21815                            X;;21815;JULIANA;PYJA SHORT;AICHA FASHION;25E;28;80;-;PFL;0GY;;;
21816                            X;;21816;JINORA;CHEMISE DE NUIT;AICHA FASHION;25E;28;80;-;PFL;0GY;;;
21817                            X;;21817;JULISSA;PYJAMA;AICHA FASHION;25E;29;90;-;PFL;0GY;;;
21818                            X;;21818;JASMINA;CHEMISE DE NUIT;AICHA FASHION;25E;29;80;-;PFL;0GY;;;
21819                            X;;21819;JALIA;PYJA SHORT;AICHA FASHION;25E;28;80;-;PFL;0GY;;;
21820                            X;;21820;JACINDA;PYJAMA;AICHA FASHION;25E;29;90;-;PFL;0GY;;;
21821                            X;;21821;JANESSA;PYJAMA;AICHA FASHION;25E;29;90;-;PFL;0GY;;;
21822                            X;;21822;JELINA;PYJA SHORT;AICHA FASHION;25E;28;80;-;PFL;0GY;;;
21823                            X;;21823;JALYSSEA;ROBE;ARTEMIS;25E;49;150;-;PFL;0GY;;;
21825                            X;;21825;JAZIA;PANTY;GRP GRATTI TEXTILE;25E;10;28;-;PFL;0GY;;;
21826                            X;;21826;JUANA;DEBARDEUR;GRP GRATTI TEXTILE;25E;10;32;-;PFL;0GY;;;
21827                            X;;21827;JAINA;DEBARDEUR;GRP GRATTI TEXTILE;25E;10;30;-;PFL;0GY;;;
21828                            X;;21828;JORINA;DEBARDEUR;GRP GRATTI TEXTILE;25E;10;30;-;PFL;0GY;;;
21829                            X;;21829;JINDARA;SLIP;GRP GRATTI TEXTILE;25E;10;32;-;PFL;0GY;;;
21830                            X;;21830;JARELLE;SLIP;GRP GRATTI TEXTILE;25E;6;22;-;PFL;0GY;;;
21831                            X;;21831;JIA;SLIP;GRP GRATTI TEXTILE;25E;7;24;-;PFL;0GY;;;
21832                            X;;21832;JOVIE;SLIP;GRP GRATTI TEXTILE;25E;7;24;-;PFL;0GY;;;
21833                            X;;21833;JAVINO;SOUTIEN;GRP GRATTI TEXTILE;25E;11;30;-;PFL;0GY;;;
21835                            X;;21835;JEANNE;TEE SHIRT;DELFINO;25E;12;40;-;PFL;0GY;;;
21836                            X;;21836;JOY;ROBE;AICHA FASHION;25E;37;130;-;PFL;0GY;;;
21840                            X;;21840;JIVAN;PANTALON;STE TEX-MODE;25E;33;100;-;PFL;0GY;;;
21841                            X;;21841;JERIAH;BLOUSE;STE TEX-MODE;25E;31;100;-;PFL;0GY;;;
21842                            X;;21842;JAYRO;PANTALON;STE TEX-MODE;25E;31;100;-;PFL;0GY;;;
21843                            X;;21843;JUBIEL;PANTALON;STE TEX-MODE;25E;32;120;-;PFL;0GY;;;
21844                            X;;21844;JUNESIA;CHEMISE;ARTEMIS;25E;35;110;-;PFL;0GY;;;
21845                            X;;21845;JELYA;VESTE;ARTEMIS;25E;79;220;-;PFL;0GY;;;
21846                            X;;21846;JEYNA;CHEMISE;ARTEMIS;25E;51;140;-;PFL;0GY;;;
21847                            X;;21847;JINAE;BLOUSE;ARTEMIS;25E;51;140;-;PFL;0GY;;;
21848                            X;;21848;JUNAYA;BLOUSE;ARTEMIS;25E;33;100;-;PFL;0GY;;;
21849                            X;;21849;JOSALYA;BLOUSE;ARTEMIS;25E;31;100;-;PFL;0GY;;;
21850                            X;;21850;JASELIA;BLOUSE;ARTEMIS;25E;31;100;-;PFL;0GY;;;
21851                            X;;21851;JUNARA;BLOUSE;ARTEMIS;25E;32;100;-;PFL;0GY;;;
21852                            X;;21852;JAVELIA;JUPE;ARTEMIS;25E;35;110;-;PFL;0GY;;;
21859                            X;;21859;JOCELYNE;BLOUSE;ARTEMIS;25E;56;150;-;PFL;0GY;;;
21860                            X;;21860;JELEPHINE;JUPE;AICHA FASHION;25E;27;100;-;PFL;0GY;;;
21861                            X;;21861;JUNA;ROBE;MB;25E;33;110;-;PFL;0GY;;;
21862                            X;;21862;JASNA;ROBE;STE TEX-MODE;25E;59;170;-;PFL;0GY;;;
21863                            X;;21863;JESSIA;BLOUSE;STE TEX-MODE;25E;31;100;-;PFL;0GY;;;
21870                            X;;21870;JOSINA;CHEMISE;ARTEMIS;25E;53;160;-;PFL;0GY;;;
21871                            X;;21871;JALENA;PANTALON;ARTEMIS;25E;31;110;-;PFL;0GY;;;
21872                            X;;21872;JIRENA;BLOUSE;ARTEMIS;25E;36;120;-;PFL;0GY;;;
21873                            X;;21873;JAVINA;PANTALON;ARTEMIS;25E;32;110;-;PFL;0GY;;;
21874                            X;;21874;JANERIA;ROBE;ARTEMIS;25E;44;150;-;PFL;0GY;;;
21875                            X;;21875;JASMIRA;ROBE;ARTEMIS;25E;54;170;-;PFL;0GY;;;
21876                            X;;21876;JELIONA;ROBE;ARTEMIS;25E;51;160;-;PFL;0GY;;;
21878                            X;;21878;JAZEORA;BLOUSE;ARTEMIS;25E;38;120;-;PFL;0GY;;;
21879                            X;;21879;JOLINA;ROBE;ARTEMIS;25E;47;180;-;PFL;0GY;;;
21880                            X;;21880;JOLIRYA;VESTE;ARTEMIS;25E;44;150;-;PFL;0GY;;;
21881                            X;;21881;JANINE;PANTALON;ARTEMIS;25E;36;130;-;PFL;0GY;;;
21883                            X;;21883;JARED;ROBE;STE TEX-MODE;25E;63;200;-;PFL;0GY;;;
21884                            X;;21884;JUNIAR;TEE SHIRT;STE TEX-MODE;25E;11;50;-;PFL;0GY;;;
21885                            X;;21885;JERICHO;TEE SHIRT;STE TEX-MODE;25E;11;50;-;PFL;0GY;;;
21890                            X;;21890;JORVIK;ROBE;TIN TRADE;25E;50;170;-;PFL;0GY;;;
21891                            X;;21891;JAZIELA;ROBE;TIN TRADE;25E;34;130;-;PFL;0GY;;;
21893                            X;;21893;JYNESIA;BLOUSE;ARTEMIS;25E;38;120;-;PFL;0GY;;;
21895                            X;;21895;JOLYSANNE;PANTALON;SORECO;25E;37;120;-;PFL;0GY;;;
21896                            X;;21896;JALIORA;PANTALON;SORECO;25E;37;120;-;PFL;0GY;;;
21897                            X;;21897;JOUL;CHEMISE;MB;25E;33;110;-;PFL;0GY;;;
21898                            X;;21898;JOSIAN;ROBE;MB;25E;42;150;-;PFL;0GY;;;
21899                            X;;21899;JUVENT;PANTALON;MB;25E;25;110;-;PFL;0GY;;;
21900                            X;;21900;JEREMIE;VESTE;SOCIÉTÉ ARCENAY INTERNATIONAL;25E;37;140;-;PFL;0GY;;;
21903                            X;;21903;JORANE;ROBE;TIN TRADE;25E;51;180;-;PFL;0GY;;;
21904                            X;;21904;JOSANE;ROBE;TIN TRADE;25E;51;180;-;PFL;0GY;;;
21905                            X;;21905;JUVENAL;ROBE;DELFINO;25E;36;130;-;PFL;0GY;;;
21906                            X;;21906;JUDAS;TEE SHIRT;DELFINO;25E;19;80;-;PFL;0GY;;;
21907                            X;;21907;JURGEN;PANTALON;ROSELLA;25E;37;120;-;PFL;0GY;;;
21908                            X;;21908;JAMINE;ROBE;ROSELLA;25E;59;180;-;PFL;0GY;;;
21909                            X;;21909;JUCONDE;ROBE;ROSELLA;25E;55;170;-;PFL;0GY;;;
21910                            X;;21910;JULIETTA;ROBE;ROSELLA;25E;58;190;-;PFL;0GY;;;
21911                            X;;21911;JYMMY;ROBE;ROSELLA;25E;60;190;-;PFL;0GY;;;
21912                            X;;21912;JURK;PANTALON;ROSELLA;25E;38;130;-;PFL;0GY;;;
21913                            X;;21913;JIOVANY;BLOUSE;ROSELLA;25E;45;150;-;PFL;0GY;;;
21914                            X;;21914;JAID;ROBE;ROSELLA;25E;64;190;-;PFL;0GY;;;
21915                            X;;21915;JOLAN;CHEMISE;ROSELLA;25E;45;150;-;PFL;0GY;;;
21916                            X;;21916;JOAKIM;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
21918                            X;;21918;JAIME;JUPE;ROSELLA;25E;38;110;-;PFL;0GY;;;
21919                            X;;21919;JARNO;PANTALON;ROSELLA;25E;37;140;-;PFL;0GY;;;
21920                            X;;21920;JOANEL;COMBINAISON;ROSELLA;25E;59;180;-;PFL;0GY;;;
21922                            X;;21922;JOBI;DEBARDEUR;STE GAT FASHION;25E;23;70;-;PFL;0GY;;;
21923                            X;;21923;JESABEL;PANTALON;STE TEX-MODE;25E;33;120;-;PFL;0GY;;;
21925                            X;;21925;JOUNY;TEE SHIRT;DELFINO;25E;19;80;-;PFL;0GY;;;
21926                            X;;21926;JAYDO;ROBE;DELFINO;25E;32;110;-;PFL;0GY;;;
21927                            X;;21927;JACINTA;ROBE;DELFINO;25E;36;130;-;PFL;0GY;;;
21928                            X;;21928;JACOPO;PANTALON;DELFINO;25E;33;140;-;PFL;0GY;;;
21929                            X;;21929;JADRANKA;ROBE;DELFINO;25E;66;200;-;PFL;0GY;;;
21930                            X;;21930;JAIDA;ROBE;DELFINO;25E;32;110;-;PFL;0GY;;;
21931                            X;;21931;JANISE;ROBE;METAPHORE LINE;25E;41;170;-;PFL;0GY;;;
21932                            X;;21932;JAOUEN;DEBARDEUR;AICHA FASHION;25E;12;50;-;PFL;0GY;;;
21933                            X;;21933;JAUFRI;TEE SHIRT;AICHA FASHION;25E;12;50;-;PFL;0GY;;;
21934                            X;;21934;JEVAN;HOMEWEAR;AICHA FASHION;25E;35;120;-;PFL;0GY;;;
21935                            X;;21935;JEANY;HOMEWEAR;AICHA FASHION;25E;35;120;-;PFL;0GY;;;
21936                            X;;21936;JENS;ROBE;AICHA FASHION;25E;30;100;-;PFL;0GY;;;
21938                            X;;21938;JOURA;TENUE VENDEUR(se);METAPHORE LINE;25E;15;0;-;PFL;0GY;;;
21939                            X;;21939;JAZI;TENUE VENDEUR(se);METAPHORE LINE;25E;30;0;-;PFL;0GY;;;
21940                            X;;21940;JOYOUNA;ROBE;AICHA FASHION;25E;30;110;-;PFL;0GY;;;
21941                            X;;21941;JEMUEL;ROBE;AICHA FASHION;25E;32;100;-;PFL;0GY;;;
21942                            X;;21942;JOWAN;JUPE;AICHA FASHION;25E;25;80;-;PFL;0GY;;;
21943                            X;;21943;JANK;ROBE;AICHA FASHION;25E;35;120;-;PFL;0GY;;;
21944                            X;;21944;JAIRUS;ROBE;AICHA FASHION;25E;30;100;-;PFL;0GY;;;
21945                            X;;21945;JONIEL;ROBE;AICHA FASHION;25E;32;100;-;PFL;0GY;;;
21946                            X;;21946;JARWIN;DEBARDEUR;AICHA FASHION;25E;11;50;-;PFL;0GY;;;
21948                            X;;21948;JOEPHINE;ROBE;TIN TRADE;25E;100;280;-;PFL;0GY;;;
21949                            X;;21949;JACLINE;ROBE;TIN TRADE;25E;110;300;-;PFL;0H0;;;
21950                            X;;21950;JAILA;DEBARDEUR;STE GAT FASHION;25E;21;70;-;PFL;0GY;;;
21951                            X;;21951;JOUD;PANTALON;STE PRIMAVET;25E;33;130;-;PFL;0GY;;;
21952                            X;;21952;JOBA;PANTALON;STE PRIMAVET;25E;31;120;-;PFL;0GY;;;
21953                            X;;21953;JALIO;CHEMISE DE NUIT;AICHA FASHION;25E;28;80;-;PFL;0GY;;;
21954                            X;;21954;JAKINE;ROBE;ROSELLA;25E;58;180;-;PFL;0GY;;;
21955                            X;;21955;JOLIE;ROBE;ARTEMIS;25E;57;190;-;PFL;0GY;;;
21956                            X;;21956;JATROPHA;ROBE;TIN TRADE;25E;51;180;-;PFL;0GY;;;
21957                            X;;21957;JUMANAH;SET;TIN TRADE;25E;50;190;-;PFL;0GY;;;
21958                            X;;21958;JOLISE;MAILLOT;MODA MANDORLA;25E;41;130;-;PFL;0GY;;;
21959                            X;;21959;JEZABEL;MAILLOT;MODA MANDORLA;25E;41;140;-;PFL;0GY;;;
21960                            X;;21960;JADELINE;MAILLOT;MODA MANDORLA;25E;41;140;-;PFL;0GY;;;
21961                            X;;21961;JALINA;MAILLOT;MODA MANDORLA;25E;41;140;-;PFL;0GY;;;
21962                            X;;21962;JOLISA;MAILLOT;MODA MANDORLA;25E;41;130;-;PFL;0GY;;;
21963                            X;;21963;JALIANA;DEBARDEUR;DELFINO;25E;20;100;-;PFL;0GY;;;
21964                            X;;21964;JUNIA;ROBE;MB;25E;34;110;-;PFL;0GY;;;
21965                            X;;21965;JOVANAE;ROBE;SOCIÉTÉ ARCENAY INTERNATIONAL;25E;40;160;-;PFL;0GY;;;
21966                            X;;21966;JOALINE;BLOUSE;SOCIÉTÉ ARCENAY INTERNATIONAL;25E;31;120;-;PFL;0GY;;;
21967                            X;;21967;JAZLINE;BLOUSE;MB;25E;27;110;-;PFL;0GY;;;
21968                            X;;21968;JURELLE;DEBARDEUR;MB;25E;27;100;-;PFL;0GY;;;
21969                            X;;21969;JAZERINE;ROBE;TWIN BREEZE;25E;46;160;-;PFL;0GY;;;
21970                            X;;21970;JACIRA;PANTALON;TWIN BREEZE;25E;34;120;-;PFL;0GY;;;
21971                            X;;21971;JESTICE;ROBE;ARTEMIS;25E;71;290;-;PFL;0GY;;;
21972                            X;;21972;JOAN;CHEMISE;ARTEMIS;25E;56;170;-;PFL;0GY;;;
21973                            X;;21973;JAGO;DEBARDEUR;STE TEX-MODE;25E;12;40;-;PFL;0GY;;;
21974                            X;;21974;JUNO;ROBE;TIN TRADE;25E;58;280;-;PFL;0GY;;;
21975                            X;;21975;JISNA;ROBE;TIN TRADE;25E;70;280;-;PFL;0GY;;;
21976                            X;;21976;JADWINE;SHORT;TIN TRADE;25E;35;130;-;PFL;0GY;;;
21977                            X;;21977;JUELZ;CHEMISE;TIN TRADE;25E;35;120;-;PFL;0GY;;;
21978                            X;;21978;JACOBINE;ROBE;TIN TRADE;25E;68;280;-;PFL;0GY;;;
22001                            X;;22001;LOUISA;PULL;NOURRISSON;25H;25;80;-;PFL;25H;;;
22002                            X;;22002;LIVIAN;PULL;NOURRISSON;25H;24;80;-;PFL;25H;;;
22003                            X;;22003;LYDIE;PULL;NOURRISSON;25H;24;90;-;PFL;25H;;;
22004                            X;;22004;LYCILE;PULL;NOURRISSON;25H;24;90;-;PFL;25H;;;
22005                            X;;22005;LEONOR;PULL;NOURRISSON;25H;25;80;-;PFL;25H;;;
22006                            X;;22006;LUCETTE;PULL;NOURRISSON;25H;26;90;-;PFL;25H;;;
