Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
70102                            X;;70102;JAMBET;CHEMISE;STE TEX-MODE;25E;30;100;-;PFL;0GY;;;
70103                            X;;70103;JUNCADELLA;PANTALON;STE TEX-MODE;25E;30;100;-;PFL;0GY;;;
70104                            X;;70104;JOUDA;ROBE;STE TEX-MODE;25E;51;170;-;PFL;0H0;;;
70105                            X;;70105;JEHIEL;ROBE;SOTTEX;25E;34;100;-;PFL;0GY;;;
70107                            X;;70107;JEASSINE;CHEMISE;ARTEMIS;25E;48;150;-;PFL;0GY;;;
70108                            X;;70108;JEDIDAH;ROBE;ARTEMIS;25E;48;150;-;PFL;0GY;;;
70109                            X;;70109;JULPIA;ROBE;ARTEMIS;25E;49;170;-;PFL;0GY;;;
70120                            X;;70120;JOLYNE;CHEMISE;ROSELLA;25E;36;110;-;PFL;0GY;;;
70121                            X;;70121;JONET;CHEMISE;ROSELLA;25E;36;110;-;PFL;0GY;;;
70122                            X;;70122;JOSANT;BLOUSE;ROSELLA;25E;35;110;-;PFL;0GY;;;
70123                            X;;70123;JORAT;CHEMISE;ROSELLA;25E;37;110;-;PFL;0GY;;;
70124                            X;;70124;JULCE;CHEMISE;ROSELLA;25E;42;130;-;PFL;0GY;;;
70125                            X;;70125;JUSAME;ROBE;ROSELLA;25E;57;180;-;PFL;0GY;;;
70126                            X;;70126;JULIZE;VESTE;ROSELLA;25E;70;220;-;PFL;0GY;;;
70127                            X;;70127;JURISSE;PANTALON;ROSELLA;25E;36;120;-;PFL;0GY;;;
70128                            X;;70128;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70129                            X;;70129;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70130                            X;;70130;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70131                            X;;70131;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70132                            X;;70132;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70133                            X;;70133;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70134                            X;;70134;JILOUNE;ROBE;ROSELLA;25E;57;170;-;PFL;0GY;;;
70145                            X;;70145;JALILA;ROBE;AICHA FASHION;25E;40;140;-;PFL;0GY;;;
70150                            X;;70150;JORENA;BLOUSE;ARTEMIS;25E;34;110;-;PFL;0GY;;;
70151                            X;;70151;JELAYA;BLOUSE;ARTEMIS;25E;34;110;-;PFL;0GY;;;
70152                            X;;70152;JALOUNA;BLOUSE;ARTEMIS;25E;34;110;-;PFL;0GY;;;
70153                            X;;70153;JOLINDRA;PANTALON;ARTEMIS;25E;28;100;-;PFL;0GY;;;
70154                            X;;70154;JELIORA;CHEMISE;ARTEMIS;25E;34;110;-;PFL;0GY;;;
70160                            X;;70160;JESSY;CHEMISE;ROSELLA;25E;44;140;-;PFL;0GY;;;
70161                            X;;70161;JOAN;PANTALON;ROSELLA;25E;36;120;-;PFL;0GY;;;
70162                            X;;70162;JOSELINA;BLOUSE;ARTEMIS;25E;44;130;-;PFL;0GY;;;
70163                            X;;70163;JYLARA;ROBE;ARTEMIS;25E;54;170;-;PFL;0GY;;;
70164                            X;;70164;JACOTTE;CHEMISE;ARTEMIS;25E;32;110;-;PFL;0GY;;;
70166                            X;;70166;JIANY;ROBE;ROSELLA;25E;61;190;-;PFL;0GY;;;
70167                            X;;70167;JASSER;CHEMISE;ROSELLA;25E;45;150;-;PFL;0GY;;;
70170                            X;;70170;JOSHUA;MAILLOT;S.B.C;25E;50;180;-;PFL;0GY;;;
70200                            X;;70200;LOYSE;LOUNGE WEAR;NOURRISSON;25H;47;160;-;PFL;25H;;;
70201                            X;;70201;LADY;PULL;NOURRISSON;25H;33;110;-;PFL;25H;;;
70202                            X;;70202;LILI;DEBARDEUR;NOURRISSON;25H;28;100;-;PFL;25H;;;
70203                            X;;70203;LILIANE;PULL;NOURRISSON;25H;27;110;-;PFL;25H;;;
70205                            X;;70205;LIERRE;PULL;COMETEX;25H;32;110;-;PFL;25H;;;
70206                            X;;70206;LINAIGRETTE;PULL;COMETEX;25H;34;120;-;PFL;25H;;;
70207                            X;;70207;LINAIRE;PULL;COMETEX;25H;32;110;-;PFL;25H;;;
70208                            X;;70208;LITCHI;PULL;COMETEX;25H;33;120;-;PFL;25H;;;
70209                            X;;70209;LOMATIA;PULL;COMETEX;25H;31;120;-;PFL;25H;;;
70210                            X;;70210;LOUCA;CHEMISE;ARTEMIS;25H;50;150;-;PFL;25H;;;
70211                            X;;70211;LHOTSE;CHEMISE;ROSELLA;25H;40;140;-;PFL;25H;;;
70212                            X;;70212;LUNEL;ROBE;ROSELLA;25H;59;180;-;PFL;25H;;;
70213                            X;;70213;LATETTE;ROBE;ARTEMIS;25H;57;180;-;PFL;25H;;;
70214                            X;;70214;LUZERNE;ROBE;ARTEMIS;25H;52;170;-;PFL;25H;;;
70216                            X;;70216;LUBLIN;CHEMISE;METAPHORE LINE;25H;29;100;-;PFL;25H;;;
70217                            X;;70217;LUDMILIA;ROBE;MAILLE CLUB;25H;63;200;-;PFL;25H;;;
70220                            X;;70220;LIDIJA;ROBE;ROSELLA;25H;66;210;-;PFL;25H;;;
70221                            X;;70221;LIEL;ROBE;ROSELLA;25H;60;190;-;PFL;25H;;;
70222                            X;;70222;LISIANNE;CHEMISE;STE TEX-MODE;25H;33;130;-;PFL;25H;;;
70223                            X;;70223;LISEMAY;PANTALON;STE TEX-MODE;25H;33;120;-;PFL;25H;;;
70224                            X;;70224;LOEVAN;JOGGING;DELFINO;25H;75;220;-;PFL;25H;;;
70226                            X;;70226;LEONARA;BLOUSE;ROSELLA;25H;39;130;-;PFL;25H;;;
70227                            X;;70227;LEXIA;CHEMISE;ROSELLA;25H;39;140;-;PFL;25H;;;
70228                            X;;70228;LAROSA;BLOUSE;MY LOOK;25H;34;130;-;PFL;25H;;;
70229                            X;;70229;LUHAN;ROBE;STE TEX-MODE;25H;61;190;-;PFL;25H;;;
70230                            X;;70230;LASHWANA;TUNIQUE;MY LOOK;25H;23;90;-;PFL;25H;;;
70231                            X;;70231;LALAINA;VESTE;ROSELLA;25H;95;270;-;PFL;25H;;;
70232                            X;;70232;LOUISANE;PANTALON;ROSELLA;25H;38;130;-;PFL;25H;;;
70233                            X;;70233;LAVY;PANTALON;ROSELLA;25H;38;130;-;PFL;25H;;;
70234                            X;;70234;LISANDRINA;PULL;COMETEX;25H;25;120;-;PFL;25H;;;
70235                            X;;70235;LORINZIA;PULL;COMETEX;25H;25;110;-;PFL;25H;;;
70241                            X;;70241;MARISSA;ROBE;ARTEMIS;26E;62;180;-;PFL;0H5;;;
70242                            X;;70242;MARISSA;SET;ARTEMIS;26E;66;220;-;PFL;0H5;;;
70248                            X;;70248;MARTINI;VESTE;ROSELLA;26E;75;240;-;PFL;0H5;;;
70249                            X;;70249;MATIO;PANTALON;ROSELLA;26E;39;130;-;PFL;0H5;;;
70250                            X;;70250;MILETTE;CHEMISE;ROSELLA;26E;60;190;-;PFL;0H5;;;
70251                            X;;70251;MATRIE;PANTALON;ROSELLA;26E;42;140;-;PFL;0H5;;;
70252                            X;;70252;MERRY;CHEMISE;ROSELLA;26E;45;140;-;PFL;0H5;;;
70253                            X;;70253;MINNA;PANTALON;ROSELLA;26E;42;140;-;PFL;0H5;;;
70255                            X;;70255;MAYEDA;SET;STE TEX-MODE;26E;94;260;-;PFL;0H5;;;
70256                            X;;70256;MARVE;ROBE;STE TEX-MODE;26E;62;180;-;PFL;0H5;;;
70257                            X;;70257;MERIETTA;VESTE;ROSELLA;26E;72;230;-;PFL;0H5;;;
70258                            X;;70258;MILIJANA;PANTALON;ROSELLA;26E;34;120;-;PFL;0H5;;;
90366                            X;;90366;JALOUSE;ECHARPE;AICHA FASHION;25E;10;50;-;PFL;0GZ;;;
90367                            X;;90367;JEVELINA;ECHARPE;AICHA FASHION;25E;9;40;-;PFL;0GZ;;;
91305                            X;;91305;JUSTINE;ECHARPE;AICHA FASHION;24E;13;40;-;ACL;0GJ;;R0;
91306                            X;;91306;JUSTINA;ECHARPE;AICHA FASHION;24E;14;50;-;ACL;0GJ;;R0;
91307                            X;;91307;JUSTIN;ECHARPE;AICHA FASHION;24E;14;40;-;ACL;0GJ;;R0;
91308                            X;;91308;JURGEN;ECHARPE;AICHA FASHION;24E;11;30;-;ACL;0GJ;;R0;
91309                            X;;91309;JUNON;ECHARPE;AICHA FASHION;24E;14;40;-;ACL;0GJ;;R0;
91312                            X;;91312;JAYANA;BOUCLES D'OREILLE;MC ACCESSOIRES;24E;10;30;-;ACL;0GJ;;R0;
91313                            X;;91313;JAYCE;COLLIER;MC ACCESSOIRES;24E;10;40;-;ACL;0GJ;;R0;
91314                            X;;91314;JAYDEN;BRACELET;MC ACCESSOIRES;24E;10;30;-;ACL;0GJ;;R0;
91315                            X;;91315;JEMUEL;BOUCLES D'OREILLE;MC ACCESSOIRES;24E;13;30;-;ACL;0GJ;;R0;
91316                            X;;91316;JENA;COLLIER;MC ACCESSOIRES;24E;13;40;-;ACL;0GJ;;R0;
91318                            X;;91318;JAKI;SAC A MAIN;SHADO;24E;35;100;-;ACL;0GJ;;R0;
91319                            X;;91319;JAKUB;SAC A MAIN;SHADO;24E;32;90;-;ACL;0GJ;;R0;
91320                            X;;91320;JAKY;SAC A MAIN;SHADO;24E;31;90;-;ACL;0GJ;;R0;
91321                            X;;91321;JALAL;SAC A MAIN;SHADO;24E;35;100;-;ACL;0GJ;;R0;
91322                            X;;91322;JALANE;SAC A MAIN;SHADO;24E;31;90;-;ACL;0GJ;;R0;
91323                            X;;91323;JADA;SAC A MAIN;SHADO;24E;35;100;-;ACL;0GJ;;R0;
91324                            X;;91324;JEANIE;SAC A MAIN;SHADO;24E;32;90;-;ACL;0GJ;;R0;
91325                            X;;91325;JEANINA;SAC A MAIN;SHADO;24E;30;90;-;ACL;0GJ;;R0;
91326                            X;;91326;JESON;SAC A MAIN;SHADO;24E;34;100;-;ACL;0GJ;;R0;
91327                            X;;91327;JALLAL;COLLIER;MC ACCESSOIRES;24E;9;40;-;ACL;0GJ;;R0;
91328                            X;;91328;JALYS;BOUCLES D'OREILLE;MC ACCESSOIRES;24E;9;30;-;ACL;0GJ;;R0;
91329                            X;;91329;JAMAL;BRACELET;MC ACCESSOIRES;24E;8;30;-;ACL;0GJ;;R0;
91330                            X;;91330;JAMES;BAGUE;MC ACCESSOIRES;24E;10;30;-;ACL;0GJ;;R0;
91331                            X;;91331;JEFF;BRACELET;MC ACCESSOIRES;24E;10;40;-;ACL;0GJ;;R0;
91332                            X;;91332;JESSY;BOUCLES D'OREILLE;MC ACCESSOIRES;24E;5;30;-;ACL;0GJ;;R0;
91333                            X;;91333;JESSI;BAGUE;MC ACCESSOIRES;24E;9;30;-;ACL;0GJ;;R0;
91334                            X;;91334;JESSE;BOUCLES D'OREILLE;MC ACCESSOIRES;24E;20;50;-;ACL;0GJ;;R0;
91335                            X;;91335;JESSICA;BRACELET;MC ACCESSOIRES;24E;5;20;-;ACL;0GJ;;R0;
91336                            X;;91336;IDALIA;ECHARPE;COMETEX;24H;8;30;-;PFL;0GH;;;
91337                            X;;91337;IBERIS;CEINTURE;MARC TCHOU;24H;24;70;-;PFL;0GW;;;
91338                            X;;91338;IYOKAN;CEINTURE;MARC TCHOU;24H;24;70;-;PFL;0GW;;;
91339                            X;;91339;INGA;CEINTURE;MARC TCHOU;24H;24;70;-;PFL;0GW;;;
91340                            X;;91340;IRIVINE;CEINTURE;MARC TCHOU;24H;23;70;-;PFL;0GW;;;
91341                            X;;91341;ICHIGO;ECHARPE;AICHA FASHION;24H;8;30;-;PFL;0GT;;;
91342                            X;;91342;IZA;ECHARPE;AICHA FASHION;24H;10;30;-;PFL;0GT;;;
91343                            X;;91343;IDIL;ECHARPE;AICHA FASHION;24H;14;40;-;PFL;0GT;;;
91344                            X;;91344;INEL;BIJOUX;MC ACCESSOIRES;24H;10;30;-;PFL;0GT;;;
91345                            X;;91345;ISAIA;BIJOUX;MC ACCESSOIRES;24H;9;30;-;PFL;0GT;;;
91346                            X;;91346;IZEM;BIJOUX;MC ACCESSOIRES;24H;9;30;-;PFL;0GT;;;
91347                            X;;91347;IZIA;BIJOUX;MC ACCESSOIRES;24H;11;40;-;PFL;0GT;;;
91348                            X;;91348;IOLE;BIJOUX;MC ACCESSOIRES;24H;11;40;-;PFL;0GT;;;
91349                            X;;91349;INZI;BIJOUX;MC ACCESSOIRES;24H;11;40;-;PFL;0GT;;;
91350                            X;;91350;ISELT;BIJOUX;MC ACCESSOIRES;24H;11;40;-;PFL;0GT;;;
91351                            X;;91351;IMELINE;BIJOUX;MC ACCESSOIRES;24H;14;50;-;PFL;0GT;;;
91352                            X;;91352;IZILD;BIJOUX;MC ACCESSOIRES;24H;20;70;-;PFL;0GT;;;
91353                            X;;91353;IO;BIJOUX;MC ACCESSOIRES;24H;20;70;-;PFL;0GT;;;
91354                            X;;91354;IRMO;BIJOUX;MC ACCESSOIRES;24H;20;70;-;PFL;0GT;;;
91355                            X;;91355;ICLAL;BIJOUX;MC ACCESSOIRES;24H;10;70;-;PFL;0GT;;;
91356                            X;;91356;ITA;BIJOUX;MC ACCESSOIRES;24H;6;40;-;PFL;0GT;;;
91357                            X;;91357;IRENCA;BIJOUX;MC ACCESSOIRES;24H;10;30;-;PFL;0GT;;;
91358                            X;;91358;IKLIL;BIJOUX;MC ACCESSOIRES;24H;18;50;-;PFL;0GT;;;
91366                            X;;91366;JALOUSE;ECHARPE;AICHA FASHION;25E;10;50;-;PFL;0GZ;;;
91367                            X;;91367;JEVELINA;ECHARPE;AICHA FASHION;25E;9;40;-;PFL;0GZ;;;
91368                            X;;91368;JIHANNA;ECHARPE;AICHA FASHION;25E;15;50;-;PFL;0GZ;;;
91370                            X;;91370;JAYLEN;BOUCLES D'OREILLE;MC ACCESSOIRES;25E;7;30;-;PFL;0GZ;;;
91371                            X;;91371;JOULINE;BOUCLES D'OREILLE;MC ACCESSOIRES;25E;8;40;-;PFL;0GZ;;;
91372                            X;;91372;JANOU;BOUCLES D'OREILLE;MC ACCESSOIRES;25E;9;70;-;PFL;0GZ;;;
91373                            X;;91373;JOUAN;COLLIER;MC ACCESSOIRES;25E;7;30;-;PFL;0GZ;;;
91374                            X;;91374;JALI;COLLIER;MC ACCESSOIRES;25E;8;40;-;PFL;0GZ;;;
91375                            X;;91375;JABI;COLLIER;MC ACCESSOIRES;25E;10;50;-;PFL;0GZ;;;
91376                            X;;91376;JAWANA;COLLIER;MC ACCESSOIRES;25E;11;70;-;PFL;0GZ;;;
91377                            X;;91377;JONIS;COLLIER;MC ACCESSOIRES;25E;12;80;-;PFL;0GZ;;;
91378                            X;;91378;JIHAN;BRACELET;MC ACCESSOIRES;25E;7;30;-;PFL;0GZ;;;
91379                            X;;91379;JERBI;BRACELET;MC ACCESSOIRES;25E;8;40;-;PFL;0GZ;;;
91380                            X;;91380;JARIS;BRACELET;MC ACCESSOIRES;25E;9;50;-;PFL;0GZ;;;
91381                            X;;91381;JANO;BIJOUX;MC ACCESSOIRES;25E;6;40;-;PFL;0GZ;;;
91385                            X;;91385;JONNA;SAC A MAIN;SHADO;25E;29;90;-;PFL;0GZ;;;
91386                            X;;91386;JANKIZ;SAC A MAIN;SHADO;25E;31;100;-;PFL;0GZ;;;
91387                            X;;91387;JOANA;SAC A MAIN;SHADO;25E;33;100;-;PFL;0GZ;;;
91388                            X;;91388;JOLANTE;SAC A MAIN;SHADO;25E;32;100;-;PFL;0GZ;;;
91389                            X;;91389;JARA;SAC A MAIN;SHADO;25E;35;110;-;PFL;0GZ;;;
