Date document;Etablissement ligne doc.;Code article;Code-barres article;Taille;Couleur;Saison;
01/03/2026;030;70227;6191114652156;S;I740;25H;;1,00;
01/03/2026;030;70231;6191114658752;3XL;C000;25H;;1,00;
01/03/2026;030;70233;6191114658868;S;995;25H;;1,00;
01/03/2026;030;91529;6191114640313;38;385;25H;;1,00;
01/03/2026;030;91529;6191114640351;40;385;25H;;1,00;
01/03/2026;031;21659;6191114588875;S;005;25E;;1,00;
01/03/2026;031;22030;6191114610682;L;995;25H;;1,00;
01/03/2026;031;22055;6191114624863;L;995;25H;;1,00;
01/03/2026;031;22061;6191114618169;L;R385;25H;;1,00;
01/03/2026;031;22064;6191114618756;XL;815;25H;;1,00;
01/03/2026;031;22070;6191114616004;L;995;25H;;1,00;
01/03/2026;031;22095;6191114620513;M;R350;25H;;1,00;
01/03/2026;031;22124;6191114646919;3XL;645;25H;;1,00;
01/03/2026;031;22129;6191114623187;XL;385;25H;;1,00;
01/03/2026;031;22129;6191114623194;XL;995;25H;;2,00;
